s2;d2;s3;d3;s4;d4;s5;d5;s6;d6;s7;d7;s8;d8;s9;d9;s10;d10;s11;d11;s12;d12;s13;d13;s14;d14;p23;p24;lkomp;p25b;p26;p27;p3;ocenaoss;p5;p6;p7;p8;s1;d1;zoss
5;3;5;4;3;3;4;2;4;2;3;2;4;4;3;3;3;3;4;2;4;2;4;5;5;4;3;1;4.3175;4.2485;1.6094;4.6052;1;4;1;4;1;2;2;1;3
1;3;5;3;3;4;3;3;3;4;3;3;2;2;4;4;2;1;4;3;4;2;5;4;2;2;2;0;2.9957;2.9444;0.0000;5.0106;1;3;4;4;4;1;1;4;1.75
5;4;4;4;4;4;3;3;4;4;2;4;3;5;5;5;2;2;4;2;3;2;5;5;3;3;2;0;3.4012;3.4012;0.0000;3.5553;1;4;1;2;1;1;5;4;3.75
5;5;5;3;4;4;4;3;4;4;3;3;3;3;4;4;2;2;4;2;3;3;4;4;3;3;3;0;3.4012;3.2958;0.0000;5.2983;1;2;1;4;3;2;2;2;2.5
4;5;5;4;3;3;3;3;4;4;3;4;3;4;4;4;2;2;1;3;1;3;2;2;2;2;3;1;4.1744;4.0943;0.6931;5.3936;1;4;4;1;4;1;4;4;2.5
4;3;4;5;2;2;4;3;4;4;2;2;2;2;2;4;2;2;4;4;4;2;4;4;5;5;4;0;2.9957;2.9957;0.0000;4.3820;1;5;3;4;3;4;4;3;1.5
5;5;5;4;4;4;4;4;5;5;2;2;1;2;4;4;3;3;4;2;4;1;5;5;3;3;3;1;5.0752;5.0106;1.0986;4.7875;1;2;2;4;2;2;3;3;2.5
4;2;5;3;1;1;3;3;4;3;3;5;3;5;3;5;1;2;4;4;5;3;5;5;5;4;3;0;3.8067;3.8067;0.0000;4.2485;1;3;3;1;4;2;1;1;2.5
5;4;5;4;5;5;4;4;5;5;2;4;2;4;4;4;2;2;4;4;4;4;4;4;3;3;3;0;1.6094;1.6094;0.0000;4.3820;1;4;4;4;4;1;4;4;1.75
5;5;5;4;5;5;5;5;4;4;2;2;4;2;2;4;3;2;3;5;4;5;3;3;2;2;3;0;1.0986;3.6889;0.0000;4.2485;1;4;3;3;3;1;5;5;2.5
4;3;4;4;4;3;4;2;4;3;4;4;2;4;3;4;3;2;4;3;4;5;5;5;3;3;2;1;3.9120;3.8067;0.0000;5.5215;1;3;3;3;1;2;3;3;2.75
4;5;5;5;5;5;4;4;5;5;1;1;3;3;5;3;3;3;5;4;4;5;3;3;4;4;2;0;4.2485;4.0943;1.0986;4.3820;1;5;1;1;1;1;5;4;4
2;2;2;2;2;2;3;3;2;2;3;3;3;4;2;4;2;2;4;4;4;5;3;3;4;4;2;1;3.6889;3.5553;0.0000;5.0106;1;2;3;3;3;4;4;4;1.75
5;4;5;4;2;4;3;2;4;4;2;2;2;2;4;4;3;3;2;3;2;3;4;4;2;2;3;0;3.9120;3.6889;0.6931;5.7038;0;1;1;1;1;1;4;4;4
5;3;5;5;4;4;4;2;4;4;2;2;2;2;2;2;3;3;2;4;3;5;2;2;2;2;2;0;3.6889;3.4012;0.6931;5.7038;1;4;1;1;2;2;2;2;3.5
5;3;4;3;4;4;3;3;3;3;4;4;4;4;4;4;2;3;4;2;4;2;4;5;4;4;1;0;2.3979;2.3026;0.0000;4.3820;0;1;1;1;1;1;2;5;4
5;5;5;3;3;3;3;3;3;3;4;3;5;5;4;4;2;2;3;3;4;4;4;4;3;3;2;0;4.6052;4.5643;1.0986;5.1358;1;5;1;1;2;4;4;4;3
5;5;2;4;2;3;3;3;4;4;3;2;3;4;2;3;2;2;4;3;4;4;2;4;4;4;2;1;4.3820;4.3175;1.0986;6.6201;0;1;1;1;1;1;1;2;4
2;5;5;4;5;5;4;3;4;4;2;4;2;4;4;4;1;1;4;4;3;4;3;3;4;4;3;0;3.9120;3.6889;0.6931;5.5215;1;4;1;2;2;2;5;4;3.25
4;5;5;4;4;5;5;4;5;5;2;2;1;1;5;5;2;2;4;4;4;5;5;5;1;1;3;1;4.6052;4.6052;1.6094;3.6889;1;5;1;1;1;2;3;3;3.75
4;2;4;2;3;3;2;2;3;3;3;4;3;4;4;5;1;1;4;3;4;3;4;4;4;4;2;0;2.0794;1.9459;0.6931;4.0943;0;1;1;1;1;1;3;1;4
5;3;4;2;3;3;1;2;3;4;4;3;3;3;4;5;2;2;4;3;4;4;3;5;4;4;2;1;4.8675;4.7875;1.0986;5.5215;1;2;3;2;3;2;3;3;2.5
4;3;3;4;2;4;4;4;4;4;2;2;5;2;5;5;3;3;4;3;4;3;5;5;2;2;3;0;4.2485;3.9120;0.0000;4.2485;1;3;1;1;1;1;5;4;4
5;3;5;5;4;4;4;3;4;4;3;4;3;4;5;5;2;2;2;4;3;4;3;3;4;4;2;1;4.0943;4.0073;1.6094;6.0684;1;5;2;1;1;2;1;1;3.5
